d3d_va,glide_va,size,class,matched_by
0x10008670,0x10008850,213,shared,body
0x10008750,0x10008930,37,shared,body
0x10008780,0x10008960,45,shared,body
0x100087B0,,83,d3d_only,
0x10008810,0x100089F0,64,shared,body
0x10008850,0x10008A30,49,shared,body
0x10008890,0x10008A70,25,shared,body
0x100088B0,0x10008A90,32,shared,body
0x100088D0,,146,d3d_only,
0x10008970,,79,d3d_only,
0x100089C0,,55,d3d_only,
0x10008A00,0x10008BE0,156,shared,prefix
0x10008AA0,,157,d3d_only,
0x10008B40,0x10008D20,47,shared,body
0x10008B90,0x10008D70,74,shared,body
0x10008BE0,,64,d3d_only,
0x10008C20,,64,d3d_only,
0x10008C60,,47,d3d_only,
0x10008C90,,47,d3d_only,
0x10008CC0,,43,d3d_only,
0x10008CF0,0x10008EF0,159,shared,body
0x10008D90,,86,d3d_only,
0x10008DF0,,59,d3d_only,
0x10008E30,,1328,d3d_only,
0x10009360,,689,d3d_only,
0x10009640,,29,d3d_only,
0x10009660,,452,d3d_only,
0x10009830,,40,d3d_only,
0x10009860,,20,d3d_only,
0x10009880,,18,d3d_only,
0x100098A0,,420,d3d_only,
0x10009A50,,120,d3d_only,
0x10009AD0,,253,d3d_only,
0x10009BD0,,98,d3d_only,
0x10009C40,,492,d3d_only,
0x10009E30,,111,d3d_only,
0x10009EA0,,35,d3d_only,
0x10009ED0,,327,d3d_only,
0x1000A020,,134,d3d_only,
0x1000A0B0,,70,d3d_only,
0x1000A100,,100,d3d_only,
0x1000A170,,25,d3d_only,
0x1000A190,,33,d3d_only,
0x1000A1C0,,30,d3d_only,
0x1000A1E0,,222,d3d_only,
0x1000A2C0,,141,d3d_only,
0x1000A350,,53,d3d_only,
0x1000A390,,225,d3d_only,
0x1000A480,,178,d3d_only,
0x1000A540,,74,d3d_only,
0x1000A590,,55,d3d_only,
0x1000A5D0,,558,d3d_only,
0x1000A800,,25,d3d_only,
0x1000A820,,128,d3d_only,
0x1000A8A0,,36,d3d_only,
0x1000A8D0,,577,d3d_only,
0x1000AB20,,68,d3d_only,
0x1000AB70,,511,d3d_only,
0x1000AD70,,114,d3d_only,
0x1000ADF0,,174,d3d_only,
0x1000AEA0,,81,d3d_only,
0x1000AF00,,166,d3d_only,
0x1000AFB0,,411,d3d_only,
0x1000B150,,28,d3d_only,
0x1000B170,,125,d3d_only,
0x1000B1F0,,34,d3d_only,
0x1000B220,,81,d3d_only,
0x1000B280,,59,d3d_only,
0x1000B2C0,,133,d3d_only,
0x1000B350,,52,d3d_only,
0x1000B390,,316,d3d_only,
0x1000B4D0,,315,d3d_only,
0x1000B610,,108,d3d_only,
0x1000B680,,269,d3d_only,
0x1000B790,,132,d3d_only,
0x1000B820,,275,d3d_only,
0x1000B940,,255,d3d_only,
0x1000BA40,,48,d3d_only,
0x1000BA70,0x10008F90,114,shared,body
0x1000BAF0,,908,d3d_only,
0x1000BEA0,0x100093D0,101,shared,body
0x1000C000,0x10009530,116,shared,body
0x1000C170,0x100096A0,468,shared,prefix
0x1000C350,0x10009880,236,shared,body
0x1000C440,0x10009970,93,shared,body
0x1000C4A0,0x100099D0,46,shared,body
