va,size,pattern,detail
0x10045880,32,calls-out,8 insns
0x100458A0,32,calls-out,8 insns
0x100458C0,32,calls-out,8 insns
0x100458E0,32,calls-out,8 insns
0x10045900,244,branching,62 insns
0x10045AA0,72,calls-out,13 insns
0x10045AF0,201,branching,49 insns
0x10045BC0,201,branching,49 insns
0x10045C90,293,branching,81 insns
0x10045DC0,212,branching,51 insns
0x10045EA0,201,branching,49 insns
0x10045F70,293,branching,81 insns
0x100460A0,201,branching,49 insns
0x10046170,239,branching,57 insns
0x10046260,284,branching,67 insns
0x10046380,57,calls-out,11 insns
0x100463C0,56,branching,15 insns
0x10046400,74,branching,21 insns
0x10046450,66,branching,16 insns
0x100464A0,56,branching,15 insns
0x100464E0,56,branching,15 insns
0x10046520,56,branching,15 insns
0x10046560,61,branching,16 insns
0x100465A0,56,branching,15 insns
0x100465E0,56,branching,15 insns
0x10046620,66,branching,16 insns
0x10046670,66,branching,16 insns
0x100466C0,76,branching,19 insns
0x10046710,56,branching,15 insns
0x10046750,56,branching,15 insns
0x10046790,158,branching,51 insns
0x10046830,56,branching,15 insns
0x10046870,158,branching,51 insns
0x10046910,56,branching,15 insns
0x10046950,158,branching,51 insns
0x100469F0,56,branching,15 insns
0x10046A30,158,branching,51 insns
0x10046AD0,56,branching,15 insns
0x10046B10,158,branching,51 insns
0x10046BB0,56,branching,15 insns
0x10046BF0,158,branching,51 insns
0x10046C90,56,branching,15 insns
0x10046CD0,66,branching,16 insns
0x10046D20,66,branching,16 insns
0x10046D70,76,branching,17 insns
0x10046DC0,76,branching,17 insns
0x10046E10,146,branching,49 insns
0x10046EB0,158,branching,51 insns
0x10046F50,13,other,4 insns
0x10046F60,90,branching,23 insns
0x10046FC0,13,other,4 insns
0x10046FD0,119,branching,36 insns
0x10047050,13,other,4 insns
0x10047060,56,branching,15 insns
0x100470A0,56,branching,15 insns
0x100470E0,56,branching,15 insns
0x10047120,132,branching,40 insns
0x100471B0,55,branching,18 insns
0x100471F0,32,branching,11 insns
0x10047210,63,branching,19 insns
0x10047250,63,branching,19 insns
0x10047290,161,branching,51 insns
0x10047340,32,other,10 insns
0x10047360,251,branching,78 insns
0x100474B0,19,calls-out,6 insns
0x100474D0,36,calls-out,7 insns
0x10047500,36,calls-out,7 insns
0x10047530,36,calls-out,7 insns
0x10047560,35,calls-out,7 insns
0x10047590,36,calls-out,7 insns
0x100475C0,36,calls-out,7 insns
0x100475F0,24,calls-out,7 insns
0x10047610,71,branching,19 insns
0x100476C0,478,calls-out,110 insns
0x100478A0,30,branching,11 insns
0x100478C0,97,calls-out,23 insns
0x10047930,79,x87-math,25 insns
0x10047980,65,x87-math,21 insns
0x100479D0,51,calls-out,16 insns
0x10047A10,68,branching,20 insns
0x10047CB0,48,x87-math,12 insns
0x10047CE0,38,x87-math,9 insns
0x10047D10,30,field-writes,8 stores
0x10047D30,373,x87-math,114 insns
0x10047EB0,247,x87-math,73 insns
